step_idx,timestamp,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,dvl_vel_x,dvl_vel_y,dvl_vel_z,dvl_alt,imu_orient_x,imu_orient_y,imu_orient_z,imu_orient_w,imu_gyro_x,imu_gyro_y,imu_gyro_z,imu_accel_x,imu_accel_y,imu_accel_z
50,52.646,-5.043,13.424,7.109,-0.017,0.022,0.265,0.964,-0.633,0.003,-0.033,11.928,-0.017,0.022,0.265,0.964,0.000,0.003,-0.005,0.513,0.201,-9.799
51,53.415,-4.626,13.675,7.107,-0.017,0.024,0.263,0.964,-0.635,0.003,-0.032,12.379,-0.017,0.024,0.263,0.964,0.000,0.003,-0.004,0.547,0.201,-9.796
52,54.150,-4.207,13.925,7.104,-0.017,0.024,0.262,0.965,-0.636,0.003,-0.031,12.805,-0.017,0.024,0.262,0.965,0.000,-0.003,-0.004,0.543,0.201,-9.794
53,55.286,-3.585,14.293,7.098,-0.017,0.024,0.260,0.965,-0.638,0.003,-0.029,13.433,-0.017,0.024,0.260,0.965,0.000,0.002,-0.004,0.534,0.201,-9.793
54,56.422,-2.960,14.658,7.093,-0.017,0.024,0.258,0.966,-0.638,0.003,-0.032,14.002,-0.017,0.024,0.258,0.966,0.000,-0.001,-0.003,0.544,0.201,-9.792
55,57.559,-2.333,15.022,7.091,-0.017,0.024,0.256,0.966,-0.639,0.003,-0.034,13.607,-0.017,0.024,0.256,0.966,0.000,0.000,-0.003,0.540,0.201,-9.791
56,58.361,-1.888,15.277,7.091,-0.017,0.024,0.255,0.966,-0.640,0.002,-0.036,13.878,-0.017,0.024,0.255,0.966,0.000,0.000,-0.003,0.543,0.201,-9.791
57,59.096,-1.480,15.511,7.092,-0.017,0.024,0.254,0.967,-0.640,0.002,-0.037,14.655,-0.017,0.024,0.254,0.967,0.000,-0.000,-0.003,0.542,0.201,-9.793
58,59.898,-1.034,15.765,7.093,-0.017,0.024,0.253,0.967,-0.641,0.002,-0.036,15.007,-0.017,0.024,0.253,0.967,0.000,0.000,-0.004,0.540,0.201,-9.794
59,60.634,-0.625,15.996,7.093,-0.017,0.024,0.251,0.967,-0.641,0.003,-0.035,14.999,-0.017,0.024,0.251,0.967,0.000,0.000,-0.004,0.542,0.201,-9.794
60,61.402,-0.195,16.238,7.092,-0.017,0.024,0.250,0.968,-0.642,0.003,-0.035,15.049,-0.017,0.024,0.250,0.968,0.000,0.000,-0.004,0.543,0.201,-9.794
61,62.137,0.217,16.468,7.091,-0.017,0.024,0.249,0.968,-0.643,0.003,-0.034,14.750,-0.017,0.024,0.249,0.968,0.000,0.000,-0.004,0.544,0.201,-9.794
62,62.939,0.668,16.718,7.090,-0.017,0.024,0.247,0.969,-0.644,0.003,-0.034,14.913,-0.017,0.024,0.247,0.969,0.000,0.000,-0.004,0.545,0.201,-9.793
63,63.675,1.082,16.946,7.088,-0.017,0.024,0.246,0.969,-0.645,0.003,-0.034,13.932,-0.017,0.024,0.246,0.969,0.000,0.000,-0.003,0.546,0.201,-9.793
64,64.443,1.516,17.184,7.087,-0.017,0.024,0.245,0.969,-0.645,0.003,-0.034,13.776,-0.017,0.024,0.245,0.969,0.000,0.000,-0.003,0.546,0.201,-9.792
65,65.179,1.931,17.410,7.088,-0.019,0.031,0.244,0.969,-0.645,0.002,-0.046,14.158,-0.019,0.031,0.244,0.969,0.000,0.026,-0.000,0.683,0.201,-9.775
66,66.315,2.591,17.768,7.093,-0.018,0.031,0.243,0.969,-0.639,0.002,-0.049,14.336,-0.018,0.031,0.243,0.969,0.000,-0.016,-0.003,0.667,0.201,-9.787
67,67.452,3.233,18.112,7.094,-0.018,0.030,0.241,0.970,-0.642,0.002,-0.041,14.766,-0.018,0.030,0.241,0.970,0.000,0.010,-0.004,0.652,0.201,-9.789
68,68.621,3.895,18.465,7.090,-0.018,0.031,0.238,0.971,-0.643,0.003,-0.039,13.356,-0.018,0.031,0.238,0.971,0.000,-0.005,-0.004,0.679,0.201,-9.789
69,69.390,4.333,18.696,7.084,-0.018,0.030,0.237,0.971,-0.644,0.003,-0.036,13.343,-0.018,0.030,0.237,0.971,0.000,0.000,-0.004,0.654,0.201,-9.787
70,70.125,4.752,18.916,7.079,-0.018,0.031,0.236,0.971,-0.645,0.003,-0.038,14.127,-0.018,0.031,0.236,0.971,0.000,0.004,-0.003,0.674,0.201,-9.783
